feature;Variance;rMID_per_Score;FScore;Lasso_importance;Correlation
Sand;194.64093407198501;0.09423845858633406;84.50115756670975;0.002235768864040668;0.39576295378247195
Clay;146.02643479260135;0.10171377213418253;60.14324567243985;0.00012956662523633687;-0.34168776317584926
Silt;73.42663627788498;0.08573403468569518;12.340421438586882;0.0;-0.16249811327328045
scE_400;0.021241949700481613;0.13770214081255094;161.6900526144024;0.0;0.5120450588008214
scE_408.5;0.02030303851481588;0.1343914971205602;158.67042844419035;0.0;0.5084876381093805
scE_417;0.019757910177136732;0.10626031158425198;156.71062130301118;0.0;0.5061464621224864
scE_425.5;0.019273089795197648;0.1424157641524917;157.16069981449152;0.0;0.5066864082385425
scE_434;0.018889803533141614;0.12123012009251521;159.41737409966257;0.0;0.5093731885793523
scE_442.5;0.018670917844709364;0.13497956344474638;161.66799986714219;0.0;0.5120192938989744
scE_451;0.018485369180941454;0.1182881566832803;162.1912325640263;0.0;0.5126297577735303
scE_459.5;0.018319921786295896;0.10819311081075478;160.89055029811334;0.0;0.5111089644534493
scE_468;0.0182406256822201;0.11144766253491678;159.24797663109652;0.0;0.5091726811365312
scE_476.5;0.01825930129543384;0.10829942829504668;158.5609028744154;0.0;0.508357477600743
scE_485;0.01845413470773595;0.11828670077842851;159.88588724484148;0.0;0.5099267593643385
scE_493.5;0.01887311361408439;0.1302322739353281;163.0926718493872;0.0;0.5136773618827318
scE_502;0.019455759882875578;0.1608064764815027;167.15079905421473;0.0;0.5183300610603102
scE_510.5;0.020176782039045153;0.18316292933173806;171.37354576340644;0.0;0.5230644298216438
scE_519;0.021026604181869513;0.22835912814704873;175.55433495987737;0.0;0.5276482731007898
scE_527.5;0.02201270999244488;0.22853862901635713;179.6129772554333;0.0;0.5320033677110472
scE_536;0.023097051896851226;0.2181708641763871;183.24267596769295;0.0;0.5358218169876434
scE_544.5;0.0242545708491211;0.20463559006645937;186.30036208725866;0.0;0.538984290145172
scE_553;0.025443706154112823;0.22304641034478978;188.53380653930506;0.0;0.5412637409162576
scE_561.5;0.026595523134799588;0.1869495324753796;189.69035727285123;0.0;0.5424341705465272
scE_570;0.027652020417284654;0.1841012427456139;190.0389792556168;0.0;0.5427856592003542
scE_578.5;0.02856015205324135;0.19034123472777287;190.19827261356795;0.0;0.5429460603152808
scE_587;0.029160274378987345;0.20412295469112074;190.4756620942909;0.0;0.5432250769256757
scE_595.5;0.02933777427610031;0.1882957877203153;190.62795623810482;0.0;0.5433781015881075
scE_604;0.029535848434964564;0.17921885486084577;190.1165075267388;0.0;0.5428637424328796
scE_612.5;0.029801268677893372;0.17050065095830558;188.64169530122126;0.0;0.541373209430582
scE_621;0.03014824569923075;0.138119896972404;186.5068011309197;0.0;0.5391960526549004
scE_629.5;0.030610818710307266;0.14727238182236801;184.4157730001705;0.0;0.5370408963967894
scE_638;0.031167220288364248;0.18322105272861133;182.4326592465447;0.0;0.5349758024363949
scE_646.5;0.03143998320955305;0.19497063769977308;180.0725339393604;0.0;0.5324907558276546
scE_655;0.03159129082304672;0.16713049232246213;177.40418264038874;0.0;0.5296446144672032
scE_663.5;0.03175023953836189;0.14832650510216672;174.79715971668136;0.0;0.5268255593008694
scE_672;0.03191739338108883;0.14010780506436982;172.7930425133815;0.0;0.5246321205123985
scE_680.5;0.032091181184630245;0.11087942247723381;171.51652308903772;0.0;0.5232228686697462
scE_689;0.03227124618867605;0.09576408243857149;170.46099998552452;0.0;0.5220503586857818
scE_697.5;0.03244463516745908;0.09921731652737753;169.3336198964046;0.0;0.520790718025692
